Ticker,Company Name,Market Cap (USD),P/E Ratio,Dividend Yield,ROE,Debt,Revenue Growth,Sector,Industry,Currency
DHR,Danaher Corporation,139331829760.0,35.329765,0.82,0.07605,27857999872.0,0.055,Healthcare,Diagnostics & Research,USD
T,AT&T Inc.,156885368832.0,7.5561056,4.75,0.18339,165755994112.0,0.023,Communication Services,Telecom Services,USD
BLK,"BlackRock, Inc.",183265820672.0,27.002394,2.03,,14965000192.0,0.306,Financial Services,Asset Management,USD
RTX,RTX Corporation,299107942400.0,39.003513,1.36,0.12274,38855999488.0,0.145,Industrials,Aerospace & Defense,USD
SPGI,S&P Global Inc.,120758927360.0,24.66165,0.94,0.14255,15747999744.0,0.104,Financial Services,Financial Data & Stock Exchanges,USD
PFE,Pfizer Inc.,145313185792.0,19.461834,6.88,0.083100006,64731000832.0,0.054,Healthcare,Drug Manufacturers - General,USD
HON,Honeywell International Inc.,78821392384.0,9.420265,1.15,0.46577,34955001856.0,0.043,Industrials,Conglomerates,USD
NEE,"NextEra Energy, Inc.",179216269312.0,19.397314,2.87,0.11677,110196998144.0,0.124,Utilities,Utilities - Regulated Electric,USD
CMCSA,Comcast Corporation,87332298752.0,7.8878527,5.29,0.114879996,90381000704.0,-0.012,Communication Services,Telecom Services,USD
ANET,"Arista Networks, Inc.",253193781248.0,69.099655,,0.31520998,0.0,0.351,Technology,Computer Hardware,USD
AMGN,Amgen Inc.,216854790144.0,24.941029,2.58,1.01318,57322999808.0,0.058,Healthcare,Drug Manufacturers - General,USD
PGR,The Progressive Corporation,123093843968.0,10.618355,6.6,0.34943,8386999808.0,0.073,Financial Services,Insurance - Property & Casualty,USD
LOW,"Lowe's Companies, Inc.",122592518144.0,18.487732,2.41,,42555998208.0,0.103,Consumer Cyclical,Home Improvement Retail,USD
SYK,Stryker Corporation,128523829248.0,34.758297,1.08,0.16508,15445999616.0,0.094,Healthcare,Medical Devices,USD
UNP,Union Pacific Corporation,175109701632.0,23.847898,1.92,0.39696,31168999424.0,0.115,Industrials,Railroads,USD
TJX,"The TJX Companies, Inc.",176012558336.0,30.998056,1.22,0.6125,14179999744.0,0.092,Consumer Cyclical,Apparel Retail,USD
KKR,KKR & Co. Inc.,98353938432.0,34.135925,0.74,,55780061184.0,0.022,Financial Services,Asset Management,USD
SCHW,The Charles Schwab Corporation,188035334144.0,19.69399,1.22,0.20283002,37099999232.0,0.209,Financial Services,Capital Markets,USD
ETN,Eaton Corporation plc,174686470144.0,43.97605,0.99,0.19684,21326000128.0,0.214,Industrials,Specialty Industrial Machinery,USD
AMAT,"Applied Materials, Inc.",430429241344.0,51.144337,0.39,0.39692003,7267999744.0,0.114,Technology,Semiconductor Equipment & Materials,USD
BA,The Boeing Company,189881909248.0,86.79422,,1.73537,48362000384.0,0.08,Industrials,Aerospace & Defense,USD
BSX,Boston Scientific Corporation,68418125824.0,19.11336,,,11029000192.0,0.075,Healthcare,Medical Devices,USD
C,Citigroup Inc.,231749599232.0,14.887932,2.02,0.08529,813852983296.0,0.145,Financial Services,Banks - Diversified,USD
UBER,"Uber Technologies, Inc.",137718448128.0,16.78784,,0.3531,12419000320.0,0.145,Technology,Software - Application,USD
COP,ConocoPhillips,140932251648.0,19.60678,2.79,0.112840004,23327000576.0,-0.053,Energy,Oil & Gas E&P,USD
PANW,"Palo Alto Networks, Inc.",297051193344.0,319.7193,,0.048309997,2130000000.0,0.311,Technology,Software - Infrastructure,USD
ADP,"Automatic Data Processing, Inc.",107246878720.0,24.666056,2.55,0.72239,5410100224.0,0.068,Technology,Software - Application,USD
DE,Deere & Company,165608177664.0,34.718006,1.09,0.18349001,48473001984.0,-0.111,Industrials,Farm & Heavy Construction Machinery,USD
FI,N/A,,,,,,,N/A,N/A,USD
BMY,Bristol-Myers Squibb Company,130080268288.0,14.026454,3.86,0.46598998,45053001728.0,0.057,Healthcare,Drug Manufacturers - General,USD
